uid,late_default,cli_anc,cli_ageband,cli_payment,oc_inc0010,oc_inc50pl,oc_children3pl,oc_children0004,oc_children0510,oc_retired,oc_selfemp,oc_student,oc_unemp,oc_socrent,oc_privrent,oc_overdraft,oc_savs10pl,oc_cards2pl
22,0,4490,6,D,0.024179533,0.271469757,0.003126996,0.003998049,0.007253639,0.810823441,0.027155519,0.002901446,0.000168236,0.02435486,0.019567266,0.071372747,0.445711494,0.276341438
23,1,2690,3,C,0.03759256,0.2815108,0.216032863,0.184255123,0.387066841,5.07E-05,0.120554745,0.008148678,0.015701383,0.189385176,0.372069597,0.188121319,0.076658204,0.194556117
24,0,4930,4,D,0.014189832,0.460129499,0.068815112,0.036553562,0.109937906,0.000786264,0.114124835,0.001742729,0.014530815,0.00125278,0.111408532,0.242924094,0.168106198,0.263339996
25,0,1800,4,P,0.063240409,0.190856002,0.042897582,0.055713564,0.109890282,0.000277809,0.108809054,0.001556878,0.024273723,0.001245781,0.404162407,0.221478701,0.048369333,0.123945832
26,0,3870,3,D,0.007126242,0.48191458,0.175730586,0.235260129,0.409603596,0.000105062,0.113358975,0.013595954,0.014285334,0.006671887,0.072494745,0.205554962,0.186998606,0.274232626
27,0,3990,4,C,0.107827604,0.197561614,0.10933578,0.037427574,0.148922682,0.000988741,0.100816488,0.002445178,0.02499558,0.132354856,0.085913658,0.121963918,0.049676567,0.107756138
28,0,2110,5,D,0.102798462,0.245111778,0.007220715,0.00864315,0.015459687,0.0297492,0.075157285,0.004845489,0.015863925,0.279456615,0.052165359,0.097585499,0.118550986,0.091741204
29,0,2370,3,P,0.006942987,0.633356214,0.109099805,0.27786541,0.418057442,6.49E-05,0.170640707,0.018040448,0.018474758,0.001246272,0.276528597,0.226374984,0.239565074,0.409732342
30,0,3460,4,C,0.006767515,0.627137542,0.181433439,0.19760406,0.385458469,0.001147075,0.129276872,0.003443679,0.012252547,0.001242417,0.093587995,0.170238733,0.276096046,0.255761147
31,1,2930,4,P,0.038656503,0.300331444,0.023280069,0.017922282,0.052293599,0.002661068,0.118043363,0.002001301,0.027505368,0.049041539,0.052849025,0.128218532,0.17867583,0.227932215
32,0,3180,6,P,0.009527348,0.565653026,0.042084724,0.024649143,0.092458367,0.8303051,0.034597516,0.003710177,0.000479563,0.001241301,0.044540167,0.088641226,0.487090111,0.369947434
33,0,1990,4,C,0.006188721,0.640782356,0.041285485,0.025171697,0.092942476,0.002938418,0.15623188,0.004320614,0.019225672,0.00124064,0.044376761,0.239724755,0.388627887,0.462827444
34,0,2110,5,D,0.139961004,0.192307383,0.005594809,0.007159643,0.012121871,0.09606874,0.104189456,0.004803643,0.074964941,0.374956846,0.039653182,0.080550849,0.149056733,0.116780579
35,0,4690,2,D,0.057736188,0.267463416,0.080774009,0.291814327,0.244717717,0.000015819,0.106388152,0.035668612,0.018171564,0.023110986,0.848680496,0.171628237,0.07245636,0.102561891
36,0,5120,7,D,0.12635839,0.144875363,0.000621689,0.000581424,0.001731739,0.931549549,0.016447768,0.009028971,0.000294874,0.045223355,0.018796518,0.02376692,0.283593059,0.11590457
37,0,5190,2,C,0.094050169,0.119664043,0.135018945,0.367818832,0.370722294,1.64E-05,0.067681015,0.049394339,0.038707644,0.525214672,0.233148813,0.15313971,0.015925549,0.060431272
38,1,2460,2,C,0.018605769,0.40198648,0.125376225,0.450443268,0.403990746,2.23E-05,0.100072444,0.047881872,0.010421976,0.090247572,0.411052704,0.253238916,0.138895094,0.249732852
39,0,4200,2,C,0.211319208,0.098902464,0.023461074,0.217735887,0.180382848,2.05E-05,0.087503612,0.042188108,0.028458953,0.585288048,0.22426939,0.125718713,0.02400212,0.046869814
40,0,5330,4,D,0.05977571,0.199252088,0.07059145,0.060353875,0.157480955,0.000355704,0.094300926,0.0022885,0.02629365,0.001326966,0.213924408,0.181566,0.04308451,0.102496266
41,0,2870,5,C,0.095607221,0.257471055,0.059442312,0.019953474,0.056358606,0.093982816,0.134602547,0.006426569,0.092726231,0.093642235,0.129211187,0.062785029,0.14704144,0.120750845
42,1,2980,3,P,0.020382583,0.487100959,0.404357433,0.216454268,0.534121513,0.000128743,0.155159235,0.04032591,0.032095879,0.019652516,0.21394515,0.12274158,0.114973486,0.220357418
43,0,1550,6,D,0.049026817,0.383909673,0.000722318,0.002428658,0.003783032,0.819947243,0.041059822,0.003508464,0.000628021,0.001240709,0.042440116,0.072371304,0.447898984,0.359146357
44,0,1580,6,D,0.034197927,0.274695545,0.00086926,0.002539158,0.004980352,0.838221073,0.021726772,0.002848441,0.000181498,0.009906977,0.033481956,0.084712327,0.419542551,0.309515238
45,1,4260,3,C,0.006356914,0.555017054,0.207636356,0.232482195,0.457477331,0.000158859,0.090257108,0.02069892,0.015196525,0.00855431,0.055095911,0.203590751,0.142139614,0.329001904
46,0,4510,5,C,0.030377895,0.434975833,0.00525165,0.010174163,0.014415614,0.100230634,0.142472506,0.005414952,0.027826816,0.001252418,0.291448355,0.186881065,0.303498626,0.303122759
47,0,5230,1,D,0.17531383,0.130269557,0.033059746,0.139120221,0.096977174,1.90E-05,0.023953989,0.369311571,0.042510033,0.512238026,0.161831379,0.093799889,0.008701734,0.011247635
48,0,2310,7,D,0.1989007,0.051886661,0.000503109,0.000723058,0.001876664,0.943588734,0.012282938,0.005814605,0.000403018,0.118197084,0.032924265,0.023100391,0.193552911,0.074856877
49,0,2600,3,D,0.254584551,0.037179203,0.166578531,0.221568465,0.325380087,0.000102165,0.126182675,0.020181492,0.023503885,0.784780979,0.129741788,0.156977296,0.007843378,0.043529958
50,0,2580,1,D,0.065218449,0.220432766,0.008913554,0.11261034,0.055827767,0.000141762,0.036476225,0.351275206,0.032289326,0.001248987,0.180758238,0.143873811,0.041833758,0.033556551
51,1,4610,3,D,0.034868687,0.260292314,0.228547096,0.242360234,0.445151329,4.50E-05,0.101769149,0.014449827,0.013824716,0.043604434,0.374188662,0.164559364,0.049419306,0.112560153
52,0,4610,5,D,0.019240394,0.409835339,0.00688123,0.007111225,0.013592541,0.12737608,0.129196048,0.005113475,0.030502215,0.032735318,0.041704834,0.130962968,0.424703002,0.384024859
53,0,3940,5,C,0.018170893,0.407212496,0.013255566,0.013064534,0.022910789,0.04363671,0.122644126,0.003777841,0.00872273,0.014157519,0.071344137,0.150955558,0.278907776,0.342174768
54,0,2350,6,D,0.060747922,0.169038035,0.001668506,0.006108183,0.008105554,0.755656242,0.049727529,0.002635317,0.000654225,0.007770412,0.180968165,0.072446466,0.251275182,0.220034599
55,0,4880,5,D,0.023156256,0.345950186,0.013634682,0.014491171,0.021803811,0.028191283,0.163667917,0.004324596,0.013148233,0.001245245,0.056012571,0.198825479,0.21795243,0.250204563
56,0,5000,2,D,0.010353886,0.368589968,0.283652782,0.149257064,0.381330729,4.63E-05,0.076680064,0.043791562,0.015593685,0.041734546,0.086809397,0.138598561,0.113615036,0.127319574
57,0,4540,5,D,0.063665211,0.289025068,0.002106713,0.010069788,0.007835448,0.055095136,0.134448528,0.005678274,0.07305783,0.007016107,0.433507919,0.113947332,0.237281084,0.26170516
58,0,3370,2,D,0.008474372,0.467958808,0.056825876,0.227375627,0.257220984,5.11E-05,0.10929513,0.037203133,0.007860191,0.062100172,0.468183041,0.28194809,0.159419298,0.36724925
59,0,2980,5,P,0.042956144,0.316750825,0.016674519,0.013751552,0.024548948,0.110977471,0.12021023,0.004331056,0.071432293,0.042025268,0.104565263,0.104516149,0.210573554,0.246119261
60,0,4480,5,C,0.027823672,0.383906245,0.002082976,0.004412212,0.007803511,0.063637674,0.109966159,0.004737634,0.008066408,0.001241058,0.035809755,0.159151435,0.364026189,0.334166765
61,1,5500,1,C,0.371904612,0.030586379,0.018612042,0.13136375,0.078181863,1.78E-05,0.022239909,0.389055729,0.044472158,0.605098248,0.249996543,0.099949539,0.004708783,0.005852576
62,0,3430,7,P,0.457472324,0.014272001,0.000300468,0.000503429,0.001257107,0.953053951,0.014090024,0.004505988,0.001131047,0.866839409,0.012825072,0.011423796,0.126762033,0.041939318
63,0,2800,2,C,0.024638414,0.335404396,0.064413428,0.211487651,0.233502984,6.66E-05,0.119828761,0.034261584,0.030190498,0.054434866,0.365210056,0.137241602,0.13854599,0.171362042
64,0,2370,4,P,0.017448559,0.469700337,0.037714839,0.015558355,0.059687883,0.002985386,0.151578188,0.006625485,0.030167133,0.02240397,0.041397721,0.153037667,0.311134398,0.404050827
65,0,4250,1,D,0.221961618,0.182228454,0.006758954,0.030572683,0.018464193,5.11E-05,0.016050905,0.749284267,0.007765014,0.115727007,0.76453495,0.146945953,0.049251273,0.047699243
66,0,3360,5,P,0.19287169,0.112389795,0.005391903,0.007280573,0.009841003,0.038849473,0.128828526,0.004365642,0.071996748,0.155191183,0.257124901,0.098201752,0.098437816,0.091232956
67,0,5180,2,D,0.084483862,0.265149206,0.141175509,0.366740227,0.357535362,2.11E-05,0.109991074,0.061495453,0.055783749,0.400971174,0.264544725,0.131156445,0.034078039,0.08893925
68,0,5290,6,C,0.028439596,0.240206748,0.001488067,0.004822016,0.006480217,0.814069748,0.041317433,0.003152574,0.000536294,0.00124402,0.048460275,0.086319804,0.395645857,0.299412727
69,0,4430,4,C,0.010344461,0.517965853,0.071893096,0.027599767,0.112302482,0.000885879,0.146731496,0.002291244,0.011208698,0.016040593,0.059875518,0.197535038,0.205513001,0.296915054
70,0,2170,2,D,0.019496054,0.454439581,0.074890256,0.42937088,0.319056749,2.86E-05,0.099666119,0.038325936,0.009556867,0.001251862,0.520813942,0.278069258,0.088758171,0.176491499
71,0,2050,3,D,0.02879107,0.521145463,0.113433421,0.174488425,0.281872511,0.000144512,0.155870318,0.01554171,0.015957117,0.046453446,0.271543741,0.209695458,0.14220804,0.261478663
72,0,5130,6,P,0.186733604,0.038992315,0.000941966,0.00251328,0.003671339,0.828387737,0.017802551,0.002458513,0.000275882,0.222937822,0.040410906,0.053202272,0.125423253,0.065553248
73,0,5140,6,D,0.055656254,0.131768718,0.001876714,0.003646303,0.005845722,0.829841137,0.022793114,0.001980566,0.000243283,0.027716309,0.035409361,0.058945894,0.299528957,0.157477975
74,0,3090,4,P,0.012288116,0.612929702,0.153084517,0.044870496,0.174255371,0.000720303,0.141191721,0.003806179,0.025135934,0.001245921,0.09952116,0.136538744,0.164048254,0.228993058
75,0,5150,5,D,0.107955098,0.164011952,0.002977926,0.006305676,0.005830869,0.058682531,0.137946725,0.003768612,0.065655947,0.001250445,0.495445252,0.130491138,0.221760511,0.205013275
76,0,4890,1,D,0.004009176,0.499723554,0.143681645,0.122960687,0.291836739,6.07E-05,0.045714408,0.381888866,0.016181678,0.023090646,0.104690313,0.15611124,0.201425612,0.134380221
77,0,1760,4,D,0.076992273,0.180395965,0.236006856,0.038668007,0.195243359,0.000357109,0.127477884,0.001166363,0.021066472,0.77767992,0.021099567,0.156475306,0.012524461,0.063368619
78,0,3430,5,C,0.007545874,0.642615438,0.044032335,0.032999903,0.120429099,0.047955215,0.119142413,0.004035737,0.008229837,0.001242591,0.059102982,0.150372505,0.412432432,0.403751135
79,0,3390,4,C,0.013362818,0.412701994,0.056245506,0.026211441,0.086547375,0.002181744,0.140610457,0.004325528,0.025741503,0.009105131,0.064956784,0.197311401,0.232362807,0.34814477
80,0,3040,4,D,0.041193396,0.258118622,0.074228823,0.034210503,0.117945075,0.000312905,0.114807308,0.001667325,0.024962738,0.001246924,0.172050953,0.186175942,0.079359159,0.154261112
81,0,3680,3,C,0.031386167,0.283186607,0.146643162,0.240579248,0.392526627,8.10E-05,0.073789775,0.009639956,0.021553785,0.00134938,0.171243787,0.205656171,0.044227891,0.122336149
82,0,2650,5,D,0.09466064,0.215746418,0.006693613,0.00509068,0.010669746,0.121078849,0.103492498,0.004597694,0.05798763,0.160347819,0.117053926,0.081402779,0.175321221,0.159085631
83,0,3690,3,D,0.059822321,0.200964451,0.085593641,0.153740764,0.264828682,5.55E-05,0.100989997,0.017583728,0.028373882,0.319873333,0.149285913,0.15658176,0.094177723,0.143404841
84,0,5110,5,D,0.024153307,0.397224784,0.009162813,0.008584797,0.016198099,0.118420184,0.139460564,0.005714472,0.033409625,0.020865008,0.038587213,0.13697803,0.34084928,0.291126013
85,0,2670,2,D,0.024664849,0.25374886,0.215699315,0.29295373,0.448731899,2.61E-05,0.075512946,0.038369596,0.018940091,0.001256798,0.46107626,0.201011062,0.028023995,0.098558486
86,0,2190,1,D,0.054887205,0.514486075,0.029703811,0.105079651,0.065112412,0.000185382,0.042140782,0.662202358,0.01660645,0.063763738,0.349365711,0.155957222,0.10050717,0.09450835
87,0,3790,6,C,0.014413446,0.508351862,0.089735985,0.040382713,0.130553484,0.81252861,0.041502148,0.002453364,0.001242818,0.001260581,0.103295922,0.072109163,0.30381304,0.224598289
88,0,2830,1,P,0.087786079,0.285712987,0.005620219,0.07570833,0.038648337,6.11E-05,0.050287068,0.339646816,0.020280629,0.015230209,0.397231102,0.164984942,0.051356979,0.038088709
89,0,2590,4,D,0.048736394,0.35419178,0.066179812,0.034307867,0.120402753,0.000890652,0.132788777,0.00173115,0.028036714,0.194420099,0.088850021,0.153335929,0.12749958,0.187538505
90,0,3440,4,C,0.006608658,0.628725171,0.065024793,0.02563189,0.099781156,0.003269915,0.140802503,0.004983705,0.02709116,0.001241518,0.043771714,0.23467803,0.384670377,0.45532012
91,1,1660,2,C,0.023015514,0.580408573,0.020833522,0.163810372,0.080523491,0.000122376,0.117359817,0.039324552,0.016389132,0.001245637,0.1545434,0.196646571,0.189489305,0.292671919
92,0,4120,2,C,0.056061715,0.223536119,0.039789438,0.249988556,0.202802539,1.45E-05,0.098481894,0.040896654,0.018941,0.031228483,0.683101654,0.226458907,0.072545916,0.127700925
93,0,3350,5,D,0.056951702,0.326453865,0.019846022,0.011336304,0.022697046,0.118296683,0.119642913,0.005434208,0.042273164,0.744307995,0.009843089,0.11247462,0.253222823,0.256216288
94,0,4990,1,C,0.029338017,0.609416604,0.00985276,0.107629776,0.05731532,0.00002732,0.068178535,0.32558322,0.029254213,0.012843788,0.318100452,0.136802554,0.117599666,0.070915341
95,0,2170,6,D,0.049824983,0.203762755,0.001989985,0.004939977,0.008078776,0.822158814,0.026347056,0.002233358,0.00025929,0.021796346,0.029198527,0.062191725,0.330177188,0.19779098
96,0,2030,3,D,0.036087245,0.394490421,0.093804359,0.174563527,0.265628338,8.12E-05,0.094238639,0.076558232,0.006327674,0.011319764,0.693022728,0.233544469,0.064755634,0.187770724
97,0,4950,5,P,0.062649965,0.277114973,0.020832405,0.01471284,0.026717335,0.073206604,0.105874181,0.00341263,0.067500532,0.427801848,0.029462248,0.098210096,0.227062643,0.152677894
98,0,4320,7,D,0.227540255,0.02070735,0.000531483,0.000856959,0.00189683,0.922558308,0.021373272,0.003971931,0.000439649,0.026515245,0.131480336,0.022767022,0.163090587,0.069827139
99,0,3310,5,D,0.13336277,0.185344875,0.027866513,0.017560422,0.028696165,0.024961442,0.107343972,0.00282225,0.0421094,0.56200695,0.128733277,0.092393637,0.064260572,0.1079337
100,0,5220,5,P,0.041834712,0.262475841,0.008878544,0.014958575,0.019635022,0.051541001,0.103723764,0.00334385,0.013802461,0.001247943,0.065121651,0.150321603,0.213281691,0.233693004
101,0,4140,4,C,0.02781643,0.410219491,0.071343839,0.0352709,0.130841613,0.000467164,0.117133915,0.001664698,0.017232657,0.126627445,0.092995405,0.21797204,0.122836709,0.231063843
102,0,3130,6,P,0.084024191,0.139234372,0.036635876,0.07225889,0.101280689,0.808002472,0.041375309,0.004024107,0.000526239,0.054816872,0.031560808,0.054938942,0.387816548,0.226748347
103,0,4850,6,D,0.024138272,0.282322541,0.003548855,0.007790528,0.016291186,0.807234287,0.029563859,0.001937771,0.000192663,0.003433224,0.073374689,0.060694218,0.269549549,0.254107952
104,1,2520,4,P,0.097703755,0.165841632,0.051333726,0.026565105,0.102593064,0.000359276,0.102684438,0.001613364,0.025955752,0.462799788,0.096202076,0.162071943,0.060083643,0.123324335
105,0,4140,5,C,0.045095414,0.356316388,0.039472967,0.046279222,0.078839839,0.082323551,0.143987656,0.011164956,0.065452576,0.056994259,0.297998905,0.094984293,0.255770028,0.227066159
106,0,4350,2,D,0.016952917,0.525695443,0.021760494,0.143665552,0.124355078,2.86E-05,0.175439,0.029122472,0.01986745,0.009347104,0.782220841,0.212327123,0.235528052,0.34080863
107,0,4620,4,D,0.073571444,0.260664731,0.042402834,0.018116713,0.063024879,0.001946029,0.112719834,0.007678524,0.059769094,0.244950175,0.123004079,0.155644417,0.126947492,0.175331473
108,0,4690,4,D,0.005023893,0.653849602,0.058018386,0.02650851,0.102650285,0.002732351,0.158676982,0.004984003,0.017906204,0.004316296,0.033210754,0.248240948,0.411564827,0.499954939
109,1,3030,2,P,0.072841704,0.164787166,0.318706989,0.439833641,0.469043493,8.62E-05,0.085299373,0.055208504,0.045527339,0.008485764,0.518532276,0.100184321,0.043206498,0.077819407
110,0,5010,2,D,0.079988599,0.216379583,0.090869606,0.354016066,0.327742577,3.08E-05,0.081311882,0.038987011,0.042036593,0.138949156,0.390692711,0.102728427,0.047861144,0.091151655
111,0,3150,7,D,0.117106199,0.103642061,0.000145026,0.000469918,0.000812989,0.93260622,0.008463264,0.006043848,5.96E-05,0.022134394,0.024240077,0.018947065,0.34717834,0.147121191
112,0,4910,4,D,0.01579237,0.479527831,0.048529446,0.029167175,0.10199225,0.000720255,0.184850216,0.002187263,0.01052665,0.042509198,0.140561938,0.212171793,0.185597777,0.317424059
113,0,3140,6,D,0.040613264,0.325513631,0.003502034,0.003533715,0.006637182,0.784196854,0.043153286,0.004706383,0.000454653,0.041469872,0.013915435,0.054620385,0.341832638,0.239302874
114,1,2250,3,P,0.165818334,0.093750225,0.062449217,0.179645658,0.327704191,3.32E-05,0.088634133,0.014637075,0.024152324,0.855034351,0.034956574,0.174501777,0.016117273,0.051496893
115,0,2910,1,C,0.042131782,0.491815686,0.011068113,0.086246908,0.045850903,9.17E-05,0.08673203,0.296230316,0.065003932,0.034258395,0.643939495,0.129172802,0.100584656,0.084129512
116,0,5240,2,D,0.01658918,0.3792236,0.081482649,0.319591999,0.282071352,0.000121208,0.101685882,0.038900703,0.023156434,0.001244467,0.213706136,0.232851028,0.119177848,0.22277832
117,0,3600,7,D,0.091802537,0.210346207,0.000336347,0.000814599,0.001614657,0.92010355,0.008650556,0.007096376,6.74E-05,0.040561736,0.007894233,0.021480754,0.296209097,0.098527491
118,0,1600,6,D,0.034015983,0.362797856,0.001252507,0.006584656,0.008754253,0.795295715,0.050234228,0.00383573,0.000564391,0.00519643,0.030380577,0.085174084,0.411082625,0.388421059
119,0,2410,5,C,0.04326424,0.344773904,0.004672583,0.009511314,0.010953896,0.116636038,0.124203682,0.008257553,0.035411656,0.009675667,0.213404656,0.143217683,0.215305269,0.240111828
120,0,3210,6,D,0.071110845,0.098233692,0.000716805,0.003135655,0.004679516,0.813921928,0.031917989,0.002531497,0.000202861,0.046779752,0.050376833,0.076035917,0.194907606,0.184269071
121,0,4170,1,D,0.041617632,0.371747047,0.008931965,0.09632498,0.053685069,0.000211735,0.061693788,0.339241505,0.051302642,0.022817165,0.215179086,0.131235957,0.066498786,0.075520754
122,0,3490,1,C,0.146731734,0.183001682,0.020583779,0.085285723,0.06349653,2.93E-05,0.04875645,0.361939907,0.061807513,0.540139198,0.250860453,0.112568617,0.026424423,0.021665633
123,0,3010,6,C,0.036984444,0.48924613,0.002394507,0.008484677,0.012122951,0.753851891,0.047323525,0.004274923,0.000304879,0.001249559,0.091580033,0.082155109,0.352563024,0.231692195
124,0,3520,7,D,0.150940418,0.057857644,0.000934902,0.00083596,0.002332725,0.930403233,0.009897858,0.00437865,0.000114932,0.070916355,0.019288287,0.026757836,0.255818725,0.120987713
125,1,4430,1,P,0.170377493,0.163746789,0.002285212,0.045520902,0.022455663,5.47E-05,0.04143554,0.392590523,0.029359371,0.241107225,0.343502522,0.112277329,0.052365549,0.028961077
126,0,1660,6,P,0.03208372,0.342334449,0.001371707,0.006386086,0.008484691,0.7667799,0.035489023,0.002722934,0.000241811,0.001246315,0.067208707,0.108125746,0.375122428,0.252835274
127,0,5330,4,D,0.042892635,0.257553868,0.072044611,0.036438942,0.129174709,0.000313258,0.109096587,0.001656926,0.023268521,0.030924067,0.109110594,0.205450892,0.078727663,0.156249285
128,0,2040,6,P,0.074619949,0.14533791,0.001583639,0.00421501,0.005968992,0.800361633,0.04125008,0.00285111,0.000636884,0.012087986,0.058626652,0.080592811,0.31315279,0.227928519
129,0,2050,1,P,0.151328802,0.087409314,0.162592769,0.326276302,0.343061209,7.64E-05,0.044134229,0.323540211,0.081724227,0.811445713,0.079496682,0.077450216,0.006791576,0.008318499
130,0,4200,5,C,0.149782896,0.187139168,0.004553139,0.006895494,0.007913873,0.030024812,0.133494616,0.009545699,0.023142889,0.001249671,0.754525662,0.127993822,0.158367693,0.171986461
131,0,4620,2,D,0.060214728,0.205687404,0.050471842,0.262654066,0.238418698,3.08E-05,0.086438894,0.041930318,0.032256424,0.166092038,0.389723063,0.16268754,0.075673565,0.150882721
132,0,3010,5,C,0.025331751,0.373882592,0.01174321,0.014923289,0.020874634,0.132708907,0.131394744,0.005431615,0.031731039,0.0012493,0.09087497,0.138994932,0.278506935,0.307686567
133,1,3600,3,C,0.02118668,0.338741377,0.200709105,0.214308262,0.422954559,4.66E-05,0.092474937,0.014649488,0.016091585,0.076871395,0.184568763,0.223933101,0.077707186,0.189934135
134,1,3090,2,P,0.034981936,0.319574431,0.099471331,0.324758291,0.326550961,2.52E-05,0.086235881,0.04520902,0.020968959,0.069891453,0.307985783,0.197645903,0.063041598,0.146108031
135,0,5100,7,C,0.095881224,0.121636733,0.000618186,0.001038675,0.002388474,0.922328949,0.006897315,0.004832912,8.10E-05,0.022877842,0.01966396,0.019884199,0.382683992,0.139711738
136,0,3630,1,D,0.001720925,0.753265619,0.202998996,0.212709546,0.429286003,0.000055079,0.0531542,0.343234062,0.01167886,0.001241153,0.02693145,0.141667604,0.244144201,0.142668724
137,1,4650,6,C,0.191830158,0.057888657,0.001252671,0.004517131,0.006557819,0.799898148,0.023065969,0.001681141,0.000590676,0.10667181,0.071217477,0.067521095,0.166458368,0.10696125
138,0,2020,6,P,0.157834888,0.027774296,0.000723799,0.003264125,0.003930375,0.775750637,0.047525108,0.002189901,0.000308737,0.016611293,0.209707975,0.093056798,0.141931176,0.118485391
139,0,3510,3,D,0.04654038,0.308482975,0.271795511,0.228909612,0.458862543,4.27E-05,0.089815497,0.016985908,0.020225033,0.573403835,0.065937042,0.134835005,0.034644105,0.108121455
140,0,4570,4,P,0.01576151,0.448612809,0.095365644,0.036255866,0.124004602,0.000667849,0.108394444,0.002329966,0.016628444,0.02117151,0.054876238,0.179636121,0.179258645,0.244533062
141,0,2860,4,D,0.025454894,0.413513243,0.083235502,0.043874472,0.122727394,0.000615636,0.114499211,0.002109768,0.015136607,0.001253346,0.146648407,0.179082871,0.098766387,0.173911214
142,0,1750,5,P,0.312100411,0.029346196,0.002128745,0.005697824,0.007576272,0.012327246,0.099938214,0.001547247,0.031584263,0.159255624,0.702979088,0.110104382,0.093618035,0.091016293
143,1,2170,1,C,0.074678063,0.259636104,0.02123712,0.144788861,0.086470425,2.20E-05,0.035902172,0.315904379,0.03199774,0.061573952,0.303901196,0.164106488,0.038423613,0.02909556
144,0,3090,2,P,0.089513481,0.163024124,0.061606348,0.262192726,0.241185784,2.99E-05,0.097750664,0.053501934,0.032332927,0.224261403,0.468228817,0.163592935,0.067016989,0.122152388
